Title,Price,Location,Date Posted,Description,URL,eBay Search Query
"CD player, Boombox, Bluetooth, Remote Control, Rechargeable",$29,Liverpool,2025-02-02T23:48:45-0500,"QR Code Link to This Post


CD Player Portable, FELEMAN Upgraded Boombox CD Player & Bluetooth Speaker 2 in 1 Combo, Rechargeable Portable CD Player for Car/Home with Remote Control, FM Radio, Support AUX/USB, Headphone Jack
2 in 1 CD Player & Bluetooth Speaker】Unlike other normal cd players, this is not only a portable cd player, but also a portable bluetooth speaker. Offering you 5 different modes to play your music, you can use it in CD Mode, Bluetooth Mode, FM Mode, USB Mode, and even AUX-in mode whichever you like. Also equipped with a remote control,which is convenient for you to control the bluetooth CD player eventhough you are not arround it.",https://syracuse.craigslist.org/ele/d/liverpool-cd-player-boombox-bluetooth/7823552238.html,"""cd player, boombox, bluetooth, remote control, rechargeable"" -parts -repair"
GE computer speaker,$20,Fulton,2025-02-21T19:04:35-0500,"QR Code Link to This Post


GE subwoofer and speaker for computer gaming speaker system",https://syracuse.craigslist.org/ele/d/fulton-ge-computer-speaker/7828734282.html,"""ge computer speaker"" -parts -repair"
Defiitive technolgy W 9  play fi,$100,Baldwinsville n y,2025-02-24T11:03:17-0500,"QR Code Link to This Post


CALL ONLY. I ERASE ALL EMAILS OR TEXTING. DEFINITIVE TECHNOLGY W 9 SPEAKER??????. I HAVE NO CLUE WHAT IT IS I DONT THINK ITS WAS NEVER HOOK UP PLASTIC COVER WAS STILLON $100 firm. PLUS I HAVE A LOT OF HIGH END SPEAKERS AND MIC STEREO STUFF. CALL ONLY 315 THREE ZERO THREE 0446",https://syracuse.craigslist.org/ele/d/baldwinsville-defiitive-technolgy-9/7829379186.html,"""defiitive technolgy w 9 play fi"" -parts -repair"
BLUE TOOTH SPEAKER HAS DIFFERENT INPUTS HAS WHEELS AND LONG HANDLE,$25,Liverpool,2025-02-26T22:21:40-0500,"QR Code Link to This Post


BLUE TOOTH SPEAKER..LOOKS GOOD SOUNDS GOOD CONDITION GOOD..HAS DIFFERENT INPUTS...HAS LONG HANDLE AND WHEELS TOO...FREE DELIVERY LOCALLY IF AD IS STILL UP THEN STILL AVAILABLE...BEST IF YOU TEXT MY PHONE FOR FASTER RESPONSE..",https://syracuse.craigslist.org/ele/d/liverpool-blue-tooth-speaker-has/7830172661.html,"""blue tooth speaker has different inputs has wheels and long handle"" -parts -repair"
BLUE TOOTH SPEAKER AND VINTAGE PIONEER TOWER SPEAKERS $25 AND $50,$0,Liverpool,2025-02-27T07:38:21-0500,"QR Code Link to This Post


BLUE TOOTH SPEAKER WITH DIFFERENT INPUTS...HAS HANDLE THAT OPENS AND CLOSES..$25 VINTAGE PIONEER TOWER SPEAKERS...12"" WOOFERS 4"" MIDRANGE AND 2"" INCE TWEETERS THEY ARE 3 FEET HIGH...THEY ARE SELLING FOR BIG BUCKS ON EBAY...SOME ON EBAY ARE NOT PERFECT AND MINE ARE NOT PERFECT...ASKING $50 FREE DELIVERY LOCALLY IF AD IS STILL UP THEN STILL AVAILABLE BEST IF YOU TEXT MY PHONE FOR FASTER RESPONSE...",https://syracuse.craigslist.org/for/d/liverpool-blue-tooth-speaker-and/7830214148.html,"""blue tooth speaker and pioneer tower speakers $25 and $50"" -parts -repair"
VHT Vintage 2x12 Cabinet,$350,Syracuse,2025-02-24T21:30:59-0500,"QR Code Link to This Post


It’s in great shape. Has been rewired 8 ohms mono. Very mid range punchy cab. No rips or tears. 

8 ohms mono
16 ohm Celestion Classic Lead 80 it has a THD Mod. 80 Watts. 
16 Ohm THD Vintage speaker 80 watts.
Open back. 
Rubber Feet on the bottom. No casters

One of the longest held cab I’ve ever owned. It’s for a reason. It packs a punch and delivers a versatile, great quality cab.

Pickup only in Syracuse,NY I have 5 Different amps you can try it with. With pedals and what not. Bring your own head/pedals if wanted. No rush. 

Before 1:45Pm is preferred but anytime is cool. Message me if interested and we can work something out. 

Trade accepted for pedals/guitars/modelers/Video cameras/ Guitar accessories/ High spec pc/laptop/mini pc. 7 way guitar stand and up. Preamp/Power tubes. Guitar speakers. 16 ohms. Don’t be afriad to offer. Least I would say is no. Please be fair. Otherwise prefer cash.",https://syracuse.craigslist.org/msg/d/syracuse-vht-vintage-2x12-cabinet/7829578026.html,"""vht 2x12 cabinet Code"" -parts -repair"
Sonos One (Gen 2) Voice Controlled Smart Speaker With Built-In Amazon,$150,Tipp Hill,2025-03-09T20:46:06-0400,"QR Code Link to This Post


Brand new!  Never used!  Never opened!  

The powerful smart speaker with voice control built in:

* Brilliant sound - Get rich, room-filling sound with Sonos One, and control it with your voice, the Sonos app, Apple AirPlay2, and more.
* Voice control - Amazon Alexa is built right in so you can play music, check news, set alarms, get your questions answered, and more, completely hands free.
* For every room - The compact design fits just about any space. Put it on your kitchen countertop or tuck it away on your office bookshelf. It's humidity resistant so you can even put it in the bathroom.
* Stereo sound with two - Pair two Sonos Ones together in the same room for stereo separation and more detailed sound. Use a pair as rear home theater surrounds with Playbar, Playbase, or Beam.
* Build your system - Connect wirelessly to other Sonos speakers to enjoy brilliant sound in any or every room

Speaker Maximum Output Power - 10 Watts
Frequency Response - 50 Hz
Connectivity Technology - WiFi, Ethernet
Audio Output Mode - Stereo
Input Voltage - 100240 Volts

It comes from a clean, dry, smoke-free home and has been kept in indoor storage. 

Please let me know if you have any questions. I am happy to answer them!

Available for pick up or delivery (depending on your location). Will also ship if needed.

CASH preferred.  Can also take Venmo.  I have a Square so I can take credit and debit cards if necessary.  PayPal acceptable under certain circumstances and conditions.",https://syracuse.craigslist.org/ele/d/syracuse-sonos-one-gen-voice-controlled/7833251745.html,"""sonos one (gen 2) voice controlled smart speaker with built-in amazon QR"" -parts -repair"
Pioneer in wall home surround sound home theater system,"$1,000",Pennellville,2025-03-09T19:34:14-0400,"QR Code Link to This Post


VSX-921-K  Reciver 2pair 4 total S-IW871-LR ELITE Speakers  1 S-IW571L ELITE center speaker all pioneer and a Sunfire SDS10 dual driver powered subwoofer paid over $2500 last year for my wife but a change of plans for living room so I don't need this my lost your gain must go all new in boxes never opened or used  

Call me  show contact info
 must go",https://syracuse.craigslist.org/ele/d/pennellville-pioneer-in-wall-home/7833237467.html,"""pioneer in wall home surround sound home theater system"" -parts -repair"
Klipsch Pro Media speaker system,$65,Fulton,2025-02-21T19:37:14-0500,"QR Code Link to This Post


Klipsch  THX ProMedia
PC desktop speaker system 
2.1 model",https://syracuse.craigslist.org/ele/d/fulton-klipsch-pro-media-speaker-system/7828742491.html,"""klipsch pro media speaker system Code"" -parts -repair"
Mint Condition DS 40 Head free cab,"$2,500",Baldwinsville,2025-03-05T17:16:36-0500,"QR Code Link to This Post


Brand new condition as shown. 
Cab is a PRS MT112 sealed with a Celestion Alnico Gold purchased less a few months ago and I will include the copy of the receipt. Bought this head last year. (June)
Just too loud for my home. I have  using the alternative combo and I have had this tucked away. 

Including just for those looking for a good deal a D’Addario heavy gauge upgraded power cord, Mogami Speaker cable and Ernie Ball Instrument cable. 

All you need is the cash and something to take it away in. 

It is sealed in the factory boxes ready to ship as listed on Reverb. 

Friedman Warranty card and instruction manual inside. 

Leave a number to text. Let me know if you have any questions. It is also posted on Reverb but I am only offering the combo on CL so no offers and no trades.
This values at over $3600.00",https://syracuse.craigslist.org/msg/d/baldwinsville-mint-condition-ds-40-head/7832122245.html,"""ds 40 head free cab QR"" -parts -repair"
Soundcore Mini Bluetooth Speaker,$15,Baldwinsville,2025-03-04T14:27:28-0500,"QR Code Link to This Post


I have three Soundcore by Anker Mini bluetooth speakers still in the box and never removed. They are very portable and powerful that has a 15 hour battery length. They are light gray in color. The price for each is $15.00... Won't find any cheaper.",https://syracuse.craigslist.org/ele/d/warners-soundcore-mini-bluetooth-speaker/7831764885.html,"""soundcore bluetooth speaker"" -parts -repair"
